Epoch,Observation Start *(days since GW170817),Halfway Date T-T0 *,Obs End *,Exposure Time (ksec),Obs IDs
4,108.06937722974544,109.91435954299595,104.18049363009632,111.75934185624646,"20860, 20861"
5,153.8949707802094,159.13038695937576,115.73070679900702,164.3658031385421,"20936, 20937, 20938, 20939, 20945"
6,259.4338054173568,260.5218121366888,102.42108104049694,261.60981885602087,"21080, 21090"
7,358.7508422565952,359.1575086580415,70.271954169916,359.56417505948775,21371
8,581.3128434211831,582.8050133599536,104.66583125044127,584.2971832987241,"21322, 22157, 22158"
9,740.5957056953703,742.2050744264452,106.93005643018988,743.8144431575201,"21372, 22736, 22737"
10,935.9208029914371,939.1452586266205,106.34273143995088,942.3697142618039,"21323, 23183, 23184, 23185"
11,1210.0045120974537,1212.3103618482637,101.36071871020832,1214.6162115990737,"22677, 24887, 24888, 24889"
12,1250.405838652201,1254.8994169810794,104.49465642012656,1259.3929953099578,"23870, 24923, 24924"
13,1573.4075244222186,1575.9830565557859,108.08010672011879,1578.5585886893532,"23869, 26223, 24336, 24337"
14,1670.2314743243041,1702.361934234028,102.65478143063375,1734.4923941437519,"25733, 25734, 25527"
15,1980.3617292005802,2012.327721493115,202.8910754392622,2044.2937137856497,"27088, 27089, 27090, 27731, 27091, 25528, 27752, 27753, 27754"
